stage_id,stage_order,date,repository,repository_branch,commit_sha,commit_message,milestone_name,judge_headline,project_phase,technical_maturity,lineage_relationship,previous_repository,transition_commit,model,model_family,satellite,orbit_type,dataset,training_samples,test_samples,forecast_horizon,input_features,physics_features,physics_mode,orbital_state_source,key_hyperparameters,w_x,w_y,w_z,w_clock,w_avg,p_x,p_y,p_z,p_clock,h0_x,h0_y,h0_z,h0_clock,aggregate_residual_mean,aggregate_residual_std,qq_outliers,qq_max_discrepancy,mae,rmse,three_d_mae,three_d_rmse,clock_mae,clock_rmse,sisre,official_selection_priority,selection_status,selected_model,problem_addressed,change_introduced,why_next_stage_was_needed,result,performance_change,limitation,next_step,evidence_source,evidence_commit,confidence,notes
STAGE-01A,1,2026-08-14 13:43:43,kmbeddedd/kkkk,origin/main,5111eb9,Initial commit,Initial GNSS BiLSTM-GRU Prototype,Built the first multi-satellite GNSS forecasting prototype,Phase A — Earlier Development,prototype,predecessor,NA,NA,Shared Bidirectional LSTM + GRU,Recurrent Neural Network (Keras),Multi-GNSS (51 Satellites),MEO (GPS/GLONASS),FINAL_Data.csv,32817,8205,96 steps (24 hours @ 15-min),"X, Y, Z coordinates, Clock error, Satellite ID",None (Raw Cartesian ECEF),none,none,"lookback=96, forecast=96, units=64, batch_size=32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2033.91,5464.69,2051.1320,4428.8516,0.0118,0.1017,NA,NA,initial_baseline,Shared Bidirectional LSTM + GRU,Initial multi-satellite orbit and clock error forecasting pipeline setup,Constructed monolithic Keras BiLSTM-GRU sequence model on multi-satellite SP3 dataset,"Monolithic Jupyter notebook and ad-hoc script lacked modularity and GPU device abstraction, preventing scaling",Successfully ingested 51 satellites and generated 24h orbit forecasts; 3D MAE ~2051m,Baseline established,High spatial error (~2 km); monolithic code without modular training pipeline or GPU acceleration,Refactor repository structure into clean modules and add PyTorch CUDA support,5111eb9:gnss_results/metrics_summary.json,5111eb9,high,"Earliest commit in kmbeddedd/kkkk; 41,022 rows from SP3 products"
STAGE-01B,2,2026-08-14 14:12:51,kmbeddedd/kkkk,origin/main,482d07f,Added GPU usage to training,Modular PyTorch Architecture & GPU Pipeline,Modularized deep learning models and enabled GPU acceleration,Phase A — Earlier Development,prototype,prototype,NA,NA,PyTorch BiLSTM / Transformer Modules,Deep Sequence Models (PyTorch),Multi-GNSS (51 Satellites),MEO (GPS/GLONASS),FINAL_Data.csv,32817,8205,96 steps (24 hours @ 15-min),"X, Y, Z coordinates, Clock error, Satellite ID",None,none,none,"device=cuda, batch_size=64, lr=1e-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,infrastructure_upgrade,PyTorch Modular Trainers,"Monolithic code prevented rapid experimentation, model ablation, and GPU scaling","Restructured into src/models/, train_bilstm.py, train_transformer.py, tune.py with CUDA support",Standard MSE loss caused gradient explosions on outlier epochs and failed to track abrupt orbit maneuvers,5x-8x training speedup via PyTorch CUDA tensors and modular trainer interfaces,Engineering velocity increased,Standard recurrent networks still suffered ~2 km spatial error due to lack of residual anchor skip-connections,"Add residual anchor skip-connections, attention pooling, and Huber smoothness loss",854caff & 482d07f source trees and CLI arguments,482d07f,high,Transitioned from Keras notebook to PyTorch CLI tools
STAGE-01C,3,2026-08-14 14:46:24,kmbeddedd/kkkk,origin/main,865ba2a,Improved Accuracy,Residual Anchor Skip-Connections & Huber-Smoothness Loss,Integrated residual anchor connections and Huber-smoothness loss,Phase A — Earlier Development,experimental,prototype,NA,NA,Enhanced BiLSTM + GRU Forecaster (Residual Anchor),Recurrent Neural Network with Skip-Anchors,Multi-GNSS (51 Satellites),MEO (GPS/GLONASS),FINAL_Data.csv,32817,8205,96 steps (24 hours @ 15-min),"X, Y, Z coordinates, Clock error, Satellite ID",None,none,none,"lookback=96, forecast=96, residual_anchor=True, huber_delta=1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056.45,5465.21,2178.4812,4734.2494,0.0116,0.1018,NA,NA,evaluated,Enhanced BiLSTM + GRU Forecaster,Vanishing gradients and trajectory drift over 96-step (24h) forecast horizons,"Added residual anchor skip-connections, attention context pooling, and Huber-smoothness loss",Pure recurrent architecture could not model complex cross-satellite multi-scale temporal dependencies,Stabilized 24h trajectory forecasts and reduced clock MAE to 0.0116m; spatial 3D MAE was 2178.48m,Stabilized long-horizon trajectory continuity,Absolute ECEF spatial error remained high without non-stationary normalizers or attention mechanisms,Implement Multi-Head Self-Attention transformer and stochastic residual diffusion heads,865ba2a:gnss_results/metrics_summary.json,865ba2a,high,Recorded in gnss_results/metrics_summary.json with metadata improvements
STAGE-01D,4,2026-08-14 14:52:35,kmbeddedd/kkkk,origin/main,49cf521,Version 3.0,Deep Multi-Task Hybrid Forecaster (BiLSTM-GRU-MHSA + DDPM),Combined multi-head self-attention with diffusion residual modeling,Phase A — Earlier Development,experimental,prototype,NA,NA,Deep Multi-Task Hybrid Forecaster (BiLSTM-GRU-MHSA + DDPM),Hybrid Transformer-Diffusion,Multi-GNSS (51 Satellites),MEO (GPS/GLONASS),FINAL_Data.csv,32817,8205,96 steps (24 hours @ 15-min),"X, Y, Z, Clock, multi-horizon embeddings",None,none,none,"n_heads=4, d_model=128, ddim_steps=20, distribution=student_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3590,2.1668,0.6198,3.7547,0.2965,1.5879,NA,NA,evaluated,Deep Multi-Task Hybrid Forecaster,Deterministic recurrent models failed to provide uncertainty intervals for safety-critical navigation,Combined BiLSTM-GRU sequence encoder with Multi-Head Self-Attention and DDPM residual diffusion,Apparent sub-meter accuracy masked data quality bugs: audit revealed unmasked 999999.999 sentinels and synthetic interpolation,"Reported sub-meter normalized error metrics: X MAE 0.3856m, Y MAE 0.3446m, Z MAE 0.3470m",Normalized metrics showed strong apparent gain,"Metrics were evaluated on raw FINAL_Data.csv without strict data contract, masking data leakage and sentinel corruption","Execute exhaustive data audit, implement split-conformal calibration, and establish formal non-deep baselines",49cf521:transformer_results/transformer_metrics_summary.json,49cf521,high,Introduced transformer_results/ with frequency spectrum and diffusion samples
STAGE-01E,5,2026-08-17 23:16:01,kmbeddedd/kkkk,origin/main,550514d,Version 4.0,"Data Audit, Non-Stationary RevIN, & Conformal Calibration",Audited dataset anomalies and introduced split-conformal calibration,Phase A — Earlier Development,validated,prototype,NA,NA,Deep Multi-Task Hybrid Forecaster (BiLSTM-GRU-MHSA + RevIN + DDPM),Hybrid Transformer-Diffusion with RevIN,Multi-GNSS (51 Satellites),MEO (GPS/GLONASS),FINAL_Data.csv (Audited),32817,8205,96 steps (24 hours @ 15-min),"Audited X, Y, Z, Clock, RevIN stationarized inputs",First ECEF to RIC transform utilities (src/physics.py),ric_utilities_only,none,"revin=True, d_model=128, n_heads=4, conformal_alpha=0.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5946,1.1017,1.0339,1.9137,0.8929,1.4849,NA,NA,fail_closed_promotion,Deep Multi-Task Hybrid Forecaster,"FINAL_Data.csv contained synthetic sentinels, missing clock epochs, and unvalidated models were claiming false accuracy","DATA_AUDIT.md, fail-closed promotion_policy.json, 32 unit tests, RevIN non-stationary layer, split-conformal calibration","Audit proved FINAL_Data.csv had irreparable artifacts; a fresh, certified IGS MGEX dataset was mandatory",Strict data contract enforced; 32 passing regression tests; fail-closed promotion policy successfully blocked flawed models,Scientific rigor restored; false accuracy claims eliminated,Dataset still rooted in flawed source data; model failed fail-closed promotion policy as intended,Acquire certified IGS MGEX observation dataset with zero synthetic sentinels,93b79fb & 550514d:test_results/transformer_metrics_summary.json and DATA_AUDIT.md,550514d,high,Merge commit 550514d merged GPU branch 482d07f with release branch d955159
STAGE-01F,6,2026-08-20 01:52:11,kmbeddedd/kkkk,origin/Kunal,16b59bc,Dataset change for training,Clean IGS MGEX Benchmark Dataset Pipeline,Replaced corrupted training data with validated IGS MGEX multi-constellation benchmark,Phase A — Earlier Development,validated,prototype,NA,NA,BiLSTM Forecaster Bundle,Recurrent Neural Network (PyTorch),14 Selected IGS Satellites,MEO (GPS/GLONASS/Galileo),CLEAN_GNSS_BENCHMARK.csv,8601,2151,96 steps (24 hours @ 15-min),"Valid X, Y, Z, Clock error with zero missing values",None,none,none,"batch_size=64, lr=1e-3, units=128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data_quality_verified,BiLSTM Bundle,Contaminated FINAL_Data.csv prevented any legitimate scientific publication or operational use,"Built automated fetch_igs_data.py, generate_clean_dataset.py, process_gnss_errors.py producing 10,752 clean rows",The hackathon announced official Problem Statement ISRO SIH PS-08 with dedicated GEO and MEO error datasets,"data_quality_report.json confirmed 0 critical failures, 0 sentinels, and perfect temporal cadence",Data pipeline achieved 100% data contract compliance,General MEO IGS data did not match the specific ISRO competition trajectory format or target definitions,Ingest official ISRO SIH PS-08 competition datasets and benchmark on target GEO/MEO orbits,16b59bc:data_quality_report.json and data_acquisition/README.md,16b59bc,high,"Completely purged FINAL_Data.csv (41,022 lines deleted)"
STAGE-01G,7,2026-08-20 19:51:29,kmbeddedd/kkkk,origin/Kunal,d73d4a9,New Dataset,OrbitIQ ISRO PS-08 Benchmark & First Shapiro-Wilk Evaluation,Adopted ISRO SIH PS-08 dataset and introduced Shapiro-Wilk residual testing,Phase A — Earlier Development,experimental,predecessor,NA,NA,OrbitIQ Pretrained Deep LSTM,Deep LSTM / Ensemble Trees,ISRO GEO,GEO,data/orbitiq/DATA_GEO_Train.csv,113,28,8th-Day Forward Epoch,"x_error (m), y_error (m), z_error (m), satclockerror (m)",None,none,none,n_estimators=100 (RF) / hidden_layers=3 (LSTM),0.9449,0.9114,0.9342,0.8750,0.9164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8780,NA,8.0927,10.2357,2.3133,NA,NA,P1 Candidate,evaluated,Pretrained LSTM,Evaluating ISRO SIH Problem Statement 25176 datasets using statistical normality of residuals,First introduction of Shapiro-Wilk W test on orbit residuals; evaluated pre-trained models on GEO/MEO,"The kkkk repository had accumulated legacy SP3 code and fragmented directories; a clean, dedicated competition repo was required","GEO OrbitIQ Pretrained Deep LSTM: W_avg=0.9164, 3D MAE=8.0927m; forward 8th-day prediction=0.5221m",First benchmark on actual ISRO SIH 2025 competition data,"Models were evaluated on random train_test_split instead of strict causal time-series splits, risking leakage",Migrate clean dataset to new NeuroNav repository and enforce strict temporal ordering,d73d4a9:orbitiq_results/evaluation_metrics.json and evaluate_orbitiq.py,d73d4a9,high,Crucial predecessor milestone directly linking ISRO SIH datasets to Shapiro-Wilk testing
STAGE-01G,7,2026-08-20 19:51:29,kmbeddedd/kkkk,origin/Kunal,d73d4a9,New Dataset,OrbitIQ ISRO PS-08 Benchmark & First Shapiro-Wilk Evaluation,Adopted ISRO SIH PS-08 dataset and introduced Shapiro-Wilk residual testing,Phase A — Earlier Development,experimental,predecessor,NA,NA,Random Forest Baseline,Deep LSTM / Ensemble Trees,ISRO GEO,GEO,data/orbitiq/DATA_GEO_Train.csv,113,28,8th-Day Forward Epoch,"x_error (m), y_error (m), z_error (m), satclockerror (m)",None,none,none,n_estimators=100 (RF) / hidden_layers=3 (LSTM),0.9735,0.9624,0.9655,0.9139,0.9538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1005,NA,8.4790,10.2392,2.6843,NA,NA,P1 Candidate,evaluated,Random Forest,Evaluating ISRO SIH Problem Statement 25176 datasets using statistical normality of residuals,First introduction of Shapiro-Wilk W test on orbit residuals; evaluated pre-trained models on GEO/MEO,"The kkkk repository had accumulated legacy SP3 code and fragmented directories; a clean, dedicated competition repo was required","GEO Random Forest Baseline: W_avg=0.9538, 3D MAE=8.4790m; forward 8th-day prediction=NAm",First benchmark on actual ISRO SIH 2025 competition data,"Models were evaluated on random train_test_split instead of strict causal time-series splits, risking leakage",Migrate clean dataset to new NeuroNav repository and enforce strict temporal ordering,d73d4a9:orbitiq_results/evaluation_metrics.json and evaluate_orbitiq.py,d73d4a9,high,Crucial predecessor milestone directly linking ISRO SIH datasets to Shapiro-Wilk testing
STAGE-01G,7,2026-08-20 19:51:29,kmbeddedd/kkkk,origin/Kunal,d73d4a9,New Dataset,OrbitIQ ISRO PS-08 Benchmark & First Shapiro-Wilk Evaluation,Adopted ISRO SIH PS-08 dataset and introduced Shapiro-Wilk residual testing,Phase A — Earlier Development,experimental,predecessor,NA,NA,OrbitIQ Pretrained Deep LSTM,Deep LSTM / Ensemble Trees,ISRO MEO,MEO,data/orbitiq/DATA_MEO_Train.csv,72,18,8th-Day Forward Epoch,"x_error (m), y_error (m), z_error (m), satclockerror (m)",None,none,none,n_estimators=100 (RF) / hidden_layers=3 (LSTM),0.8476,0.9431,0.8503,0.9197,0.8902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3852,NA,0.8244,0.8688,0.3567,NA,NA,P1 Candidate,evaluated,Pretrained LSTM,Evaluating ISRO SIH Problem Statement 25176 datasets using statistical normality of residuals,First introduction of Shapiro-Wilk W test on orbit residuals; evaluated pre-trained models on GEO/MEO,"The kkkk repository had accumulated legacy SP3 code and fragmented directories; a clean, dedicated competition repo was required","MEO OrbitIQ Pretrained Deep LSTM: W_avg=0.8902, 3D MAE=0.8244m; forward 8th-day prediction=0.0125m",First benchmark on actual ISRO SIH 2025 competition data,"Models were evaluated on random train_test_split instead of strict causal time-series splits, risking leakage",Migrate clean dataset to new NeuroNav repository and enforce strict temporal ordering,d73d4a9:orbitiq_results/evaluation_metrics.json and evaluate_orbitiq.py,d73d4a9,high,Crucial predecessor milestone directly linking ISRO SIH datasets to Shapiro-Wilk testing
STAGE-01G,7,2026-08-20 19:51:29,kmbeddedd/kkkk,origin/Kunal,d73d4a9,New Dataset,OrbitIQ ISRO PS-08 Benchmark & First Shapiro-Wilk Evaluation,Adopted ISRO SIH PS-08 dataset and introduced Shapiro-Wilk residual testing,Phase A — Earlier Development,experimental,predecessor,NA,NA,Random Forest Baseline,Deep LSTM / Ensemble Trees,ISRO MEO,MEO,data/orbitiq/DATA_MEO_Train.csv,72,18,8th-Day Forward Epoch,"x_error (m), y_error (m), z_error (m), satclockerror (m)",None,none,none,n_estimators=100 (RF) / hidden_layers=3 (LSTM),0.8041,0.9300,0.8617,0.9154,0.8778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3715,NA,0.7991,0.8445,0.3495,NA,NA,P1 Candidate,evaluated,Pretrained LSTM,Evaluating ISRO SIH Problem Statement 25176 datasets using statistical normality of residuals,First introduction of Shapiro-Wilk W test on orbit residuals; evaluated pre-trained models on GEO/MEO,"The kkkk repository had accumulated legacy SP3 code and fragmented directories; a clean, dedicated competition repo was required","MEO Random Forest Baseline: W_avg=0.8778, 3D MAE=0.7991m; forward 8th-day prediction=NAm",First benchmark on actual ISRO SIH 2025 competition data,"Models were evaluated on random train_test_split instead of strict causal time-series splits, risking leakage",Migrate clean dataset to new NeuroNav repository and enforce strict temporal ordering,d73d4a9:orbitiq_results/evaluation_metrics.json and evaluate_orbitiq.py,d73d4a9,high,Crucial predecessor milestone directly linking ISRO SIH datasets to Shapiro-Wilk testing
